Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_3_119_4	-1.953	-0.982	1484.7759	269.0115	2.6375	393.8606	17.3505	10.1606	27.3551	2.95	413.6039	25.8723	1.8415	400
E560A3_3_120_3	-0.618	-0.568	1526.5147	245.5166	2.6154	378.2061	15.631	9.7072	27.7224	2.8984	439.6279	24.2215	1.7235	310
E560A3_3_121_3	9.598	20.462	1786.7931	264.3665	2.6791	470.0818	20.4017	10.5611	23.8351	2.275	379.0934	24.5593	2.0319	350
E560A3_3_121_4	11.96	22.115	1751.8525	266.4629	2.5961	464.7814	24.3055	8.7433	23.5298	1.4842	381.8735	25.1651	2.0214	370
E560A3_3_122_2	13.005	26.453	1631.8431	292.1188	2.628	470.4005	20.5593	10.4344	24.9394	1.8	363.5485	25.6557	2.1378	390
E560A3_3_123_2	9.142	21.613	1514.5632	299.3226	2.5592	453.4255	23.5176	8.6229	26.2927	2.7208	368.3919	26.218	2.1192	380
E560A3_3_123_5	6.178	19.169	1534.014	297.6021	2.606	454.7527	19.5676	10.5934	26.9877	2.5278	365.6587	25.1811	2.1151	380
E560A3_3_124_5	11.025	19.349	1499.8536	326.2029	2.5839	484.2067	16.993	12.1571	27.2217	2.1763	338.8239	25.6168	2.303	405
E560A3_3_125_1	6.477	15.56	1379.8525	321.585	2.6325	443.9423	12.836	12.8061	27.6986	2.5592	354.071	26.9967	2.17	420
E560A3_3_125_5	11.664	22.013	1583.7257	282.2997	2.5841	445.4986	20.5294	9.8538	25.6864	1.8158	376.3598	25.3243	2.0367	430
E560A3_3_127_1	1.152	-0.076	1209.2355	347.3931	2.6183	413.4176	17.5563	9.9425	29.4503	3.5443	356.0607	29.6392	2.1523	650
E560A3_3_127_5	0.119	0.543	1302.8149	327.8265	2.5697	424.6721	19.3619	9.4594	29.6987	3.3341	358.2965	27.1234	2.1245	730
E560A3_3_128_2	0.798	-2.344	1343.2053	322.8873	2.6538	428.5375	13.4137	13.406	29.2672	3.1972	365.9749	27.264	2.1224	580
E560A3_3_128_5	0.555	1.031	1584.8848	247.8188	2.7044	397.5454	14.2088	11.3733	26.6859	2.95	428.7998	24.6471	1.7821	430
E560A3_3_129_4	0.934	-0.636	1263.437	296.0873	2.6179	376.3332	13.8299	10.7836	31.299	3.5306	408.191	26.3406	1.883	490
E560A3_3_130_1	0.448	0.77	1435.6618	267.4001	2.5397	380.5263	28.4093	6.4147	27.1842	3.8342	413.4418	26.5594	1.7999	590
E560A3_3_130_3	2.018	-2.395	1714.5658	277.3276	2.6618	472.1082	16.958	13.1511	24.37	2.0109	369.1053	25.0484	2.0845	400
E560A3_3_131_5	0.936	-1.225	1398.6865	316.7538	2.5829	438.83	21.4259	9.5966	28.6541	3.1727	363.2206	26.3584	2.1345	560
E560A3_3_132_5	1.69	-1.223	1391.2753	296.0295	2.5851	407.7441	19.15	9.714	28.5255	2.8219	383.1281	26.3513	1.9691	320
E560A3_3_133_2	-1.33	1.276	1386.1818	291.4149	2.6138	408.4519	15.0407	11.7271	28.4145	2.675	393.8055	26.235	1.9687	450
